Name,HomeCountry,Sport,Year,HostCountry,GoldMedal,SilverMedal,BronzeMedal,TotalMedals
Gillian Apps,Canada,Ice Hockey,2006,Italy,1,,,1
Gillian Apps,Canada,Ice Hockey,2010,Canada,1,,,1
Gillian Apps,Canada,Ice Hockey,2014,Russia,1,,,1
Geert Blanchart,Belgium,Speed Skating,1992,France,,,,0
Geert Blanchart,Belgium,Speed Skating,1994,Norway,,,,0
Brian Boitano,United States,Figure Skating,1984,Bosnia and Herzegovina,,,,0
Brian Boitano,United States,Figure Skating,1988,Canada,1,,,1
Brian Boitano,United States,Figure Skating,1994,Norway,,,,0
Brittany Bowe,United States,Speed Skating,2014,Russia,,,,0
Brittany Bowe,United States,Speed Skating,2018,South Korea,,,1,1
Luc Bradet,Canada,Pairs Figure Skating,1998,Japan,,,,0
Belle Brockhoff,Australia,Snowboard,2014,Russia,,,,0
Tim Brown,United States,Figure Skating,1960,United States,,,,0
Anastasia Bucsis,Canada,Speed Skating,2010,Canada,,,,0
Anastasia Bucsis,Canada,Speed Skating,2014,Russia,,,,0
Jeff Buttle,Canada,Figure Skating,2002,United States,,,,0
Jeff Buttle,Canada,Figure Skating,2006,Italy,,,1,1
Caitlin Cahow,United States,Ice Hockey,2006,Italy,,,1,1
Caitlin Cahow,United States,Ice Hockey,2010,Canada,,1,,1
Julie Chu,United States,Ice Hockey,2002,United States,,1,,1
Julie Chu,United States,Ice Hockey,2006,Italy,,,1,1
Julie Chu,United States,Ice Hockey,2010,Canada,,1,,1
Julie Chu,United States,Ice Hockey,2014,Russia,,1,,1
Callan Chythlook-Silsof,United States,Snowboard,2010,Canada,,,,0
Robin Cousins,United Kingdom,Figure Skating,1976,Austria,,,,0
Robin Cousins,United Kingdom,Figure Skating,1980,United States,1,,,1
Toller Cranston,Canada,Figure Skating,1972,Japan,,,,0
Toller Cranston,Canada,Figure Skating,1976,Austria,,,1,1
John Curry,United Kingdom,Figure Skating,1968,France,,,,0
John Curry,United Kingdom,Figure Skating,1972,Japan,,,,0
John Curry,United Kingdom,Figure Skating,1976,Austria,1,,,1
Melodie Daoust,Canada,Ice Hockey,2014,Russia,1,,,1
Melodie Daoust,Canada,Ice Hockey,2018,South Korea,,1,,1
Lars Dresler,Denmark,Figure Skating,1988,Canada,,,,0
Nancy Drolet,Canada,Ice Hockey,1998,Japan,,1,,1
Meghan Duggan,United States,Ice Hockey,2010,Canada,,1,,1
Meghan Duggan,United States,Ice Hockey,2014,Russia,,1,,1
Meghan Duggan,United States,Ice Hockey,2018,South Korea,1,,,1
John Fennell,Canada,Luge,2014,Russia,,,,0
Randy Gardner,United States,Pairs Figure Skating,1976,Austria,,,,0
Randy Gardner,United States,Pairs Figure Skating,1980,United States,,,,0
Timothy Goebel,United States,Figure Skating,2002,United States,,,1,1
Joan Guetschow,United States,Biathlon,1992,France,,,,0
Joan Guetschow,United States,Biathlon,1994,Norway,,,,0
Jayna Hefford,Canada,Ice Hockey,1998,Japan,,1,,1
Jayna Hefford,Canada,Ice Hockey,2002,United States,1,,,1
Jayna Hefford,Canada,Ice Hockey,2006,Italy,1,,,1
Jayna Hefford,Canada,Ice Hockey,2010,Canada,1,,,1
Jayna Hefford,Canada,Ice Hockey,2014,Russia,1,,,1
