Country,Population,EqualityIndex
Afghanistan,38928346,1
Albania,2877797,44
Algeria,43851044,6
American Samoa,55191,60
Andorra,77265,82
Angola,32866272,63
Anguilla,15003,66
Antigua and Barbuda,97929,34
Argentina,45195774,82
Armenia,2963243,36
Aruba,106766,77
Australia,25499884,86
Austria,9006398,76
Azerbaijan,10139177,31
Bahamas,393244,56
Bahrain,1701575,52
Bangladesh,164689383,30
Barbados,287375,34
Belarus,9449323,38
Belgium,11589623,82
Belize,397628,78
Benin,121232,37
Bermuda,62278,92
Bhutan,771608,56
Bolivia,11673021,56
Bosnia and Herzegovina,3280819,46
Botswana,2351627,55
Brazil,212559417,82
British Virgin Islands,30231,85
Brunei,437479,13
Bulgaria,6948445,51
Burkina Faso,20903273,41
Burundi,11890784,26
Cambodia,16718965,44
Cameroon,26545863,21
Canada,37742154,89
Cape Verde,555987,69
Cayman Islands,65722,68
Central African Republic,4829767,35
Chad,16425864,15
Chile,19116201,70
China,1439323776,38
Colombia,50882891,68
Comoros,869601,44
Cook Islands,17564,61
Costa Rica,5094118,77
Côte d'Ivoire,26378274,33
Croatia,4105267,57
Cuba,11326616,76
Curaçao,164093,66
Cyprus,1207359,59
Czech Republic,10708981,72
Democratic Republic of the Congo,89561403,52
Denmark,5792202,83
Djibouti,988,68
Dominica,71986,41
Dominican Republic,1084791,54
Ecuador,17643054,68
Egypt,102334404,11
El Salvador,6486205,57
Equatorial Guinea,1402985,64
Eritrea,3546421,21
Estonia,1326535,57
Eswatini,1160164,33
Ethiopia,114963588,14
Falkland Islands,348,78
Faroe Islands,48863,91
Federated States of Micronesia,115023,58
Fiji,896445,79
Finland,554072,77
France,65273511,75
French Guiana,298682,96
French Polynesia,280908,100
Gabon,2225734,45
Gambia,2416668,22
Georgia,3989167,46
Germany,83783942,84
Ghana,3107294,19
Gibraltar,33691,86
Greece,10423054,60
Greenland,5677,98
Grenada,112523,61
Guadeloupe,400124,91
Guam,168775,92
Guatemala,17915568,55
Guinea,13132795,19
Guinea-Bissau,1968001,60
Guyana,786552,26
Haiti,11402528,39
Honduras,9904607,51
Hong Kong,7496981,64
Hungary,9660351,52
Iceland,341243,90
India,1380004385,63
Indonesia,273523615,39
Iran,83992949,11
Iraq,40222493,27
Ireland,4937786,74
Isle of Man,85033,92
Israel,8655535,69
Italy,60461826,67
Jamaica,2961167,29
Japan,126476461,58
Jordan,10203134,21
Kazakhstan,18776707,40
Kenya,53771296,23
Kiribati,119449,46
Kuwait,4270571,33
Kyrgyzstan,6524195,40
Laos,727556,53
Latvia,1886198,49
Lebanon,6825445,24
Lesotho,2142249,44
Liberia,5057681,24
Libya,6871292,28
Liechtenstein,38128,80
Lithuania,2722289,52
Luxembourg,625978,80
Macau,649335,58
Madagascar,27691018,38
Malawi,19129952,25
Malaysia,32365999,20
Maldives,540544,33
Mali,20250833,34
Malta,441543,82
Marshall Islands,5919,66
Martinique,375265,96
Mauritania,4649658,10
Mauritius,1271768,62
Mayotte,272815,100
Mexico,128932753,77
Moldova,4033963,37
Monaco,39242,71
Mongolia,327829,43
Montenegro,628066,49
Montserrat,4992,80
Morocco,3691056,18
Mozambique,31255435,61
Myanmar,544098,28
Namibia,2540905,53
Nauru,10824,58
Nepal,29136808,68
Netherlands,17134872,86
New Caledonia,285498,100
New Zealand,4822233,83
Nicaragua,6624554,60
Niger,24206644,34
Nigeria,206139589,14
Niue,1626,83
North Korea,25778816,1
North Macedonia,2083374,36
Northern Mariana Islands,57559,93
Norway,5421241,86
Oman,5106626,27
Pakistan,22089234,30
Palau,18094,68
Palestine,5101414,25
Panama,4314767,52
Papua New Guinea,8947024,44
Paraguay,7132538,46
Peru,32971854,58
Philippines,109581078,51
Poland,37846611,47
Portugal,10196709,73
Puerto Rico,2860853,82
Qatar,2881053,26
Republic of the Congo,5518087,34
Réunion,895312,100
Romania,19237691,49
Russia,145934462,34
Rwanda,12952218,37
Saint Kitts and Nevis,53199,50
Saint Lucia,183627,72
Saint Pierre and Miquelon,5794,96
Saint Vincent and the Grenadines,11094,41
Samoa,198414,69
San Marino,33931,92
Sao Tome and Principe,219159,47
Saudi Arabia,34813871,13
Senegal,16743927,18
Serbia,8737371,47
Seychelles,98347,68
Sierra Leone,7976983,30
Singapore,5850342,33
Sint Maarten,42876,77
Slovakia,5459642,54
Slovenia,2078938,62
Solomon Islands,686884,31
Somalia,15893222,27
South Africa,5930869,77
South Korea,51269185,49
South Sudan,11193725,26
Spain,46754778,84
Sri Lanka,21413249,46
Sudan,4384926,21
Suriname,586632,72
Sweden,10099265,87
Switzerland,8654622,83
Syria,17500658,37
Taiwan,23816775,51
Tajikistan,9537645,59
Tanzania,59734218,21
Thailand,69799978,51
Timor-Leste,1318445,53
Togo,8278724,22
Tokelau,1357,59
Tonga,105695,47
Trinidad and Tobago,1399488,41
Tunisia,11818619,17
Turkey,84339067,36
Turkmenistan,60312,52
Turks and Caicos Islands,38717,85
Tuvalu,11792,40
Uganda,45741007,15
Ukraine,43733762,44
United Arab Emirates,9890402,2
United Kingdom,67886011,82
United States,331002651,79
United States Virgin Islands,104425,93
Uruguay,347373,86
Uzbekistan,33469203,55
Vanuatu,307145,83
Vatican City,801,59
Venezuela,2843594,57
Vietnam,97338579,45
Wallis and Futuna,11239,98
Western Sahara,597339,35
Yemen,29825964,7
Zambia,18383955,21
Zimbabwe,14862924,32
